filename,y_true,pred_mean,pred_std,I,abs_error,lower_mc_90,upper_mc_90,width_mc_90,covered_mc_90,lower_mc_95,upper_mc_95,width_mc_95,covered_mc_95,lower_mc_conf_80,upper_mc_conf_80,width_mc_conf_80,covered_mc_conf_80,lower_mc_conf_90,upper_mc_conf_90,width_mc_conf_90,covered_mc_conf_90,lower_mc_conf_95,upper_mc_conf_95,width_mc_conf_95,covered_mc_conf_95,image_path,group,rank_width,rank_error,reliable_score
solar_Tue_Jun_27_7__3__42_2017_L_0.210730948678_I_0.0050431372549.jpg,0.21073096,0.5322725,0.03135426,0.0050431374,0.32154154,0.48069477,0.58385026,0.103155494,0,0.47081816,0.5937269,0.12290871,0,0.428553532721766,0.6359914672782341,0.207437934556468,0,0.3703170814601013,0.6942279185398987,0.3239108370797974,0,0.2723505615661017,0.7921944384338984,0.5198438768677967,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_27_7__3__42_2017_L_0.210730948678_I_0.0050431372549.jpg,Top uncertainty,,,
solar_Fri_Jun_23_16__18__12_2017_L_0.535699650096_I_0.373211764706.jpg,0.53569967,0.3347296,0.031227121,0.37321177,0.20097006999999995,0.283361,0.38609824,0.10273725,0,0.27352446,0.39593476,0.1224103,0,0.231431191370643,0.438028008629357,0.206596817258714,0,0.1734308766990419,0.4960283233009581,0.3225974466019162,0,0.075861590486817,0.593597609513183,0.517736019026366,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Fri_Jun_23_16__18__12_2017_L_0.535699650096_I_0.373211764706.jpg,Top uncertainty,,,
solar_Mon_Jun_26_10__13__11_2017_L_0.985439936175_I_0.550525490196.jpg,0.98543996,0.034821525,0.010365892,0.5505255,0.950618435,0.017769633,0.051873416,0.03410378,0,0.014504377,0.055138674,0.040634297,0,0.0005292457420705,0.0691138042579294,0.0685845585158589,0,0.0,0.0883683408394453,0.0883683408394453,0,0.0,0.1207587063269886,0.1207587063269886,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Mon_Jun_26_10__13__11_2017_L_0.985439936175_I_0.550525490196.jpg,Top error,,,
solar_Wed_Jun_14_15__28__35_2017_L_0.75097086933_I_0.427149019608.jpg,0.75097084,0.13068587,0.02105446,0.42714903,0.62028497,0.096051276,0.16532046,0.06926918,0,0.08941913,0.1719526,0.08253348,0,0.0610372507007766,0.2003344892992233,0.1392972385984467,0,0.0219307253496257,0.2394410146503743,0.2175102893007486,0,0.0,0.3052267916130693,0.3052267916130693,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_14_15__28__35_2017_L_0.75097086933_I_0.427149019608.jpg,Top error,,,
solar_Tue_Jun_13_13__48__45_2017_L_0.748821767697_I_0.844568627451.jpg,0.7488218,0.18484645,0.028015817,0.8445686,0.56397535,0.13876043,0.23093246,0.09217203,0,0.12993544,0.23975745,0.109822005,0,0.092170601492819,0.2775222985071809,0.1853516970143619,0,0.040134675216734,0.3295582247832659,0.2894235495665319,0,0.0,0.4170940978711321,0.4170940978711321,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_13_13__48__45_2017_L_0.748821767697_I_0.844568627451.jpg,Top error,,,
solar_Wed_Jun_21_9__49__0_2017_L_0.734762601597_I_0.444854901961.jpg,0.7347626,0.19480379,0.02223091,0.44485492,0.53995881,0.15823394,0.23137364,0.0731397,0,0.1512312,0.23837638,0.08714518,0,0.1212636329155859,0.268343947084414,0.1470803141688281,0,0.0799720747155036,0.3096355052844964,0.2296634305689928,0,0.0105105919117695,0.3790969880882304,0.3685863961764609,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_21_9__49__0_2017_L_0.734762601597_I_0.444854901961.jpg,Top error,,,
solar_Tue_Jun_13_14__33__13_2017_L_0.593013318882_I_0.752580392157.jpg,0.59301335,0.08082306,0.017009242,0.7525804,0.5121902899999999,0.052842855,0.10880326,0.055960402,0,0.04748494,0.11416117,0.06667623,0,0.0245554757607737,0.1370906442392263,0.1125351684784525,0,0.0,0.1686839440295045,0.1686839440295045,0,0.0,0.2218308230952418,0.2218308230952418,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_13_14__33__13_2017_L_0.593013318882_I_0.752580392157.jpg,Top error,,,
solar_Wed_Jun_21_10__14__47_2017_L_0.65417265715_I_0.657360784314.jpg,0.65417266,0.15062499,0.018395832,0.6573608,0.50354767,0.12036385,0.18088613,0.060522288,0,0.11456916,0.18668082,0.072111666,0,0.0897707532234218,0.2114792267765781,0.1217084735531562,0,0.0556021253716026,0.2456478546283973,0.1900457292567946,0,0.0,0.3031270019266359,0.3031270019266359,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_21_10__14__47_2017_L_0.65417265715_I_0.657360784314.jpg,Top error,,,
solar_Wed_Jun_14_10__20__43_2017_L_0.650796287069_I_0.637517647059.jpg,0.6507963,0.1516783,0.022151146,0.63751763,0.499118,0.11523966,0.18811694,0.07287728,0,0.10826205,0.19509454,0.08683249,0,0.0784019914598487,0.2249546085401512,0.1465526170803025,0,0.0372585797684681,0.2660980202315318,0.2288394404630637,0,0.0,0.3353102880234042,0.3353102880234042,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_14_10__20__43_2017_L_0.650796287069_I_0.637517647059.jpg,Top error,,,
solar_Tue_Jun_20_11__43__52_2017_L_0.518436999504_I_0.418701960784.jpg,0.518437,0.030366711,0.008675111,0.41870195,0.48807028900000005,0.016096152,0.04463727,0.028541118,0,0.013363492,0.04736993,0.03400644,0,0.0016673070431734,0.0590661149568265,0.0573988079136531,0,0.0,0.0751803463614551,0.0751803463614551,0,0.0,0.1022880278440532,0.1022880278440532,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_20_11__43__52_2017_L_0.518436999504_I_0.418701960784.jpg,Top error,,,
solar_Wed_Jun_21_11__15__47_2017_L_0.535394416528_I_0.778066666667.jpg,0.53539443,0.074435584,0.018120691,0.7780667,0.460958846,0.044627048,0.10424412,0.059617072,0,0.038919028,0.10995214,0.071033105,0,0.0144914765087762,0.1343796914912237,0.1198882149824475,0,0.0,0.1680372970955289,0.1680372970955289,0,0.0,0.2246567925761728,0.2246567925761728,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_21_11__15__47_2017_L_0.535394416528_I_0.778066666667.jpg,Top error,,,
solar_Wed_Jun_21_12__41__7_2017_L_0.609273560653_I_0.752043137255.jpg,0.60927355,0.15447086,0.02240492,0.7520431,0.45480269000000006,0.11761477,0.19132695,0.07371218,0,0.11055721,0.19838451,0.087827295,0,0.0803551013260572,0.2285866186739427,0.1482315173478854,0,0.0387403525390034,0.2702013674609965,0.231461014921993,0,0.0,0.3402065279164787,0.3402065279164787,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_21_12__41__7_2017_L_0.609273560653_I_0.752043137255.jpg,Top error,,,
solar_Wed_Jun_21_10__21__1_2017_L_0.579249193097_I_0.658533333333.jpg,0.5792492,0.13372086,0.026264958,0.65853333,0.44552834,0.090515,0.17692672,0.086411715,0,0.08224154,0.18520018,0.10295864,0,0.0468366167076953,0.2206051032923047,0.1737684865846094,0,0.0,0.2693891408958178,0.2693891408958178,0,0.0,0.3514546219966589,0.3514546219966589,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_21_10__21__1_2017_L_0.579249193097_I_0.658533333333.jpg,Top error,,,
solar_Wed_Jun_14_10__1__31_2017_L_0.568545159164_I_0.66622745098.jpg,0.56854516,0.14810333,0.026866378,0.66622746,0.42044183,0.10390814,0.19229852,0.08839038,0,0.09544522,0.20076144,0.105316214,0,0.0592296705363583,0.2369769894636416,0.1777473189272833,0,0.0093286092973279,0.2868780507026721,0.2775494414053441,0,0.0,0.3708226112432834,0.3708226112432834,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_14_10__1__31_2017_L_0.568545159164_I_0.66622745098.jpg,Top error,,,
solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,0.0032995252,0.003354951,0.0018517461,0.2733608,5.542580000000028e-05,0.00030882866,0.006401073,0.0060922448,1,0.0,0.0069843736,0.0069843736,1,0.0,0.0094835849874322,0.0094835849874322,1,0.0,0.0129247096329587,0.0129247096329587,1,0.0,0.01871343814818,0.01871343814818,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,Reliable,1.0,12.0,13.0
solar_Sun_Jun_25_12__9__31_2017_L_0.00747208703121_I_0.273960784314.jpg,0.007472087,0.0075992807,0.003621231,0.2739608,0.00012719370000000008,0.0016423557,0.013556206,0.01191385,1,0.0005016676,0.014696894,0.014195226,1,0.0,0.0195811318651061,0.0195811318651061,1,0.0,0.0263087392614405,0.0263087392614405,1,0.0,0.0376260546121078,0.0376260546121078,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_12__9__31_2017_L_0.00747208703121_I_0.273960784314.jpg,Reliable,72.0,18.0,90.0
solar_Sun_Jun_25_12__9__36_2017_L_0.00747208703121_I_0.273960784314.jpg,0.007472087,0.0071964953,0.0038073834,0.2739608,0.0002755916999999993,0.0009333496,0.0134596415,0.012526292,1,0.0,0.014658967,0.014658967,1,0.0,0.0197941134746721,0.0197941134746721,1,0.0,0.0268674636640767,0.0268674636640767,1,0.0,0.0387663944374168,0.0387663944374168,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_12__9__36_2017_L_0.00747208703121_I_0.273960784314.jpg,Reliable,82.0,58.0,140.0
solar_Sun_Jun_25_10__37__2_2017_L_0.00747314339094_I_0.193109803922.jpg,0.0074731433,0.00705203,0.0033695512,0.19310981,0.0004211133000000004,0.0015091184,0.012594942,0.011085823,1,0.00044770958,0.01365635,0.013208641,1,0.0,0.0182013583622082,0.0182013583622082,1,0.0,0.0244615182423605,0.0244615182423605,1,0.0,0.0349924840576191,0.0349924840576191,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_10__37__2_2017_L_0.00747314339094_I_0.193109803922.jpg,Reliable,52.0,90.0,142.0
solar_Sun_Jun_25_10__20__36_2017_L_0.0036546184739_I_0.292941176471.jpg,0.0036546185,0.0042789937,0.0025019366,0.29294118,0.0006243752,0.00016330788,0.008394679,0.008231372,1,0.0,0.009182789,0.009182789,1,0.0,0.012558370088998,0.012558370088998,1,0.0,0.017207100328101,0.017207100328101,1,0.0,0.0250272870596835,0.0250272870596835,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_10__20__36_2017_L_0.0036546184739_I_0.292941176471.jpg,Reliable,5.0,140.0,145.0
solar_Sun_Jun_25_11__16__12_2017_L_0.00608765772826_I_0.345282352941.jpg,0.0060876575,0.0063131643,0.004253507,0.34528235,0.00022550679999999972,0.0,0.013310183,0.013310183,1,0.0,0.0146500375,0.0146500375,1,0.0,0.0203864991190389,0.0203864991190389,1,0.0,0.0282884393213498,0.0282884393213498,1,0.0,0.0415812407414197,0.0415812407414197,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_11__16__12_2017_L_0.00608765772826_I_0.345282352941.jpg,Reliable,108.0,38.0,146.0
solar_Tue_Jun_27_14__59__39_2017_L_0.00859862422012_I_0.294164705882.jpg,0.008598624,0.008585018,0.0041427747,0.29416472,1.360599999999934e-05,0.0017701536,0.015399883,0.013629729,1,0.0004651798,0.016704857,0.016239677,1,0.0,0.0222920653189402,0.0222920653189402,1,0.0,0.0299883412661296,0.0299883412661296,1,0.0,0.0429351701740641,0.0429351701740641,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_27_14__59__39_2017_L_0.00859862422012_I_0.294164705882.jpg,Reliable,147.0,4.0,151.0
solar_Sun_Jun_25_10__19__51_2017_L_0.00702930527269_I_0.277270588235.jpg,0.007029305,0.0067303227,0.0040827454,0.2772706,0.0002989822999999994,1.4206395e-05,0.013446439,0.013432233,1,0.0,0.014732504,0.014732504,1,0.0,0.0202388011981926,0.0202388011981926,1,0.0,0.027823584100715,0.027823584100715,1,0.0,0.0405828571850757,0.0405828571850757,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_10__19__51_2017_L_0.00702930527269_I_0.277270588235.jpg,Reliable,100.0,63.0,163.0
solar_Sun_Jun_25_8__48__17_2017_L_0.00915808288341_I_0.212819607843.jpg,0.009158083,0.009549738,0.003453621,0.2128196,0.00039165500000000117,0.0038685314,0.015230944,0.011362413,1,0.0027806405,0.016318835,0.013538195,1,0.0,0.0209771579116097,0.0209771579116097,1,0.0,0.0273934615076897,0.0273934615076897,1,0.0,0.0381870953963173,0.0381870953963173,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_8__48__17_2017_L_0.00915808288341_I_0.212819607843.jpg,Reliable,93.0,82.0,175.0
solar_Mon_Jun_26_13__33__18_2017_L_0.0101096508282_I_0.403419607843.jpg,0.010109651,0.010293145,0.003933083,0.4034196,0.00018349399999999932,0.0038232235,0.016763065,0.0129398415,1,0.0025843023,0.018001987,0.015417684,1,0.0,0.0233065604826608,0.0233065604826608,1,0.0,0.030613373849504,0.030613373849504,1,0.0,0.0429050410365771,0.0429050410365771,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Mon_Jun_26_13__33__18_2017_L_0.0101096508282_I_0.403419607843.jpg,Reliable,164.0,29.0,193.0
solar_Tue_Jun_27_14__34__28_2017_L_0.00927196688892_I_0.362890196078.jpg,0.009271967,0.00969134,0.0039093317,0.36289018,0.00041937299999999893,0.003260489,0.01612219,0.012861701,1,0.0020290497,0.01735363,0.01532458,1,0.0,0.0226261893885664,0.0226261893885664,1,0.0,0.0298888892183236,0.0298888892183236,1,0.0,0.042106347733424,0.042106347733424,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_27_14__34__28_2017_L_0.00927196688892_I_0.362890196078.jpg,Reliable,142.0,87.0,229.0
solar_Wed_Jun_28_7__4__15_2017_L_0.010621227172_I_0.0513215686275.jpg,0.010621227,0.010710058,0.004388077,0.05132157,8.883099999999929e-05,0.0034916708,0.017928444,0.014436773,1,0.002109426,0.01931069,0.017201263,1,0.0,0.0252285322127684,0.0252285322127684,1,0.0,0.0333804106789075,0.0333804106789075,1,0.0,0.0470936632316465,0.0470936632316465,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_28_7__4__15_2017_L_0.010621227172_I_0.0513215686275.jpg,Reliable,238.0,16.0,254.0
solar_Tue_Jun_13_14__25__33_2017_L_0.546514573985_I_0.69651372549.jpg,0.5465146,0.5990131,0.041402314,0.6965137,0.052498500000000003,0.53090626,0.6671199,0.13621366,1,0.5178646,0.6801616,0.16229701,1,0.4620565265263164,0.7359696734736835,0.273913146947367,1,0.3851577198242704,0.8128684801757295,0.4277107603514591,1,0.2557970133699621,0.942229186630038,0.6864321732600758,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_13_14__25__33_2017_L_0.546514573985_I_0.69651372549.jpg,High uncertainty,,,
solar_Tue_Jun_20_10__6__59_2017_L_0.498184502735_I_0.52057254902.jpg,0.4981845,0.544168,0.036459398,0.52057254,0.04598350000000001,0.48419228,0.6041437,0.1199514,1,0.47270757,0.6156284,0.14292085,1,0.4235619253856166,0.6647740746143833,0.2412121492287666,1,0.3558436480979177,0.7324923519020823,0.3766487038041646,1,0.2419266113388494,0.8464093886611506,0.6044827773223012,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_20_10__6__59_2017_L_0.498184502735_I_0.52057254902.jpg,High uncertainty,,,
solar_Sat_Jun_24_16__12__1_2017_L_0.30602117617_I_0.307411764706.jpg,0.30602118,0.41230968,0.035466164,0.30741176,0.10628850000000001,0.35396785,0.4706515,0.11668366,0,0.342796,0.48182335,0.13902736,0,0.2949890893760422,0.5296302706239578,0.2346411812479156,1,0.229115555950535,0.595503804049465,0.36638824809893,1,0.1183017841116235,0.7063175758883764,0.5880157917767528,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sat_Jun_24_16__12__1_2017_L_0.30602117617_I_0.307411764706.jpg,High uncertainty,,,
solar_Tue_Jun_27_11__3__21_2017_L_0.611204023813_I_0.628415686275.jpg,0.611204,0.635591,0.03484074,0.6284157,0.024387000000000048,0.57827795,0.692904,0.11462605,1,0.5673031,0.7038788,0.1365757,1,0.5203392275389603,0.7508427724610397,0.2305035449220793,1,0.4556273006284008,0.8155546993715992,0.3599273987431983,1,0.3467676064382852,0.9244143935617148,0.5776467871234297,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_27_11__3__21_2017_L_0.611204023813_I_0.628415686275.jpg,High uncertainty,,,
solar_Mon_Jun_26_10__13__11_2017_L_0.985439936175_I_0.550525490196.jpg,0.98543996,0.034821525,0.010365892,0.5505255,0.950618435,0.017769633,0.051873416,0.03410378,0,0.014504377,0.055138674,0.040634297,0,0.0005292457420705,0.0691138042579294,0.0685845585158589,0,0.0,0.0883683408394453,0.0883683408394453,0,0.0,0.1207587063269886,0.1207587063269886,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Mon_Jun_26_10__13__11_2017_L_0.985439936175_I_0.550525490196.jpg,High error,,,
solar_Wed_Jun_14_15__28__35_2017_L_0.75097086933_I_0.427149019608.jpg,0.75097084,0.13068587,0.02105446,0.42714903,0.62028497,0.096051276,0.16532046,0.06926918,0,0.08941913,0.1719526,0.08253348,0,0.0610372507007766,0.2003344892992233,0.1392972385984467,0,0.0219307253496257,0.2394410146503743,0.2175102893007486,0,0.0,0.3052267916130693,0.3052267916130693,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_14_15__28__35_2017_L_0.75097086933_I_0.427149019608.jpg,High error,,,
solar_Tue_Jun_13_13__48__45_2017_L_0.748821767697_I_0.844568627451.jpg,0.7488218,0.18484645,0.028015817,0.8445686,0.56397535,0.13876043,0.23093246,0.09217203,0,0.12993544,0.23975745,0.109822005,0,0.092170601492819,0.2775222985071809,0.1853516970143619,0,0.040134675216734,0.3295582247832659,0.2894235495665319,0,0.0,0.4170940978711321,0.4170940978711321,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_13_13__48__45_2017_L_0.748821767697_I_0.844568627451.jpg,High error,,,
solar_Wed_Jun_21_9__49__0_2017_L_0.734762601597_I_0.444854901961.jpg,0.7347626,0.19480379,0.02223091,0.44485492,0.53995881,0.15823394,0.23137364,0.0731397,0,0.1512312,0.23837638,0.08714518,0,0.1212636329155859,0.268343947084414,0.1470803141688281,0,0.0799720747155036,0.3096355052844964,0.2296634305689928,0,0.0105105919117695,0.3790969880882304,0.3685863961764609,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_21_9__49__0_2017_L_0.734762601597_I_0.444854901961.jpg,High error,,,
solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,0.0032995252,0.003354951,0.0018517461,0.2733608,5.542580000000028e-05,0.00030882866,0.006401073,0.0060922448,1,0.0,0.0069843736,0.0069843736,1,0.0,0.0094835849874322,0.0094835849874322,1,0.0,0.0129247096329587,0.0129247096329587,1,0.0,0.01871343814818,0.01871343814818,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,Reliable,1.0,12.0,13.0
solar_Sun_Jun_25_12__9__31_2017_L_0.00747208703121_I_0.273960784314.jpg,0.007472087,0.0075992807,0.003621231,0.2739608,0.00012719370000000008,0.0016423557,0.013556206,0.01191385,1,0.0005016676,0.014696894,0.014195226,1,0.0,0.0195811318651061,0.0195811318651061,1,0.0,0.0263087392614405,0.0263087392614405,1,0.0,0.0376260546121078,0.0376260546121078,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_12__9__31_2017_L_0.00747208703121_I_0.273960784314.jpg,Reliable,72.0,18.0,90.0
solar_Sun_Jun_25_12__9__36_2017_L_0.00747208703121_I_0.273960784314.jpg,0.007472087,0.0071964953,0.0038073834,0.2739608,0.0002755916999999993,0.0009333496,0.0134596415,0.012526292,1,0.0,0.014658967,0.014658967,1,0.0,0.0197941134746721,0.0197941134746721,1,0.0,0.0268674636640767,0.0268674636640767,1,0.0,0.0387663944374168,0.0387663944374168,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_12__9__36_2017_L_0.00747208703121_I_0.273960784314.jpg,Reliable,82.0,58.0,140.0
solar_Sun_Jun_25_10__37__2_2017_L_0.00747314339094_I_0.193109803922.jpg,0.0074731433,0.00705203,0.0033695512,0.19310981,0.0004211133000000004,0.0015091184,0.012594942,0.011085823,1,0.00044770958,0.01365635,0.013208641,1,0.0,0.0182013583622082,0.0182013583622082,1,0.0,0.0244615182423605,0.0244615182423605,1,0.0,0.0349924840576191,0.0349924840576191,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_10__37__2_2017_L_0.00747314339094_I_0.193109803922.jpg,Reliable,52.0,90.0,142.0
